"기관ID","주소","비고","간이약도","기관명","대표전화1","진료시간(월요일)C","진료시간(화요일)C","진료시간(수요일)C","진료시간(목요일)C","진료시간(금요일)C","진료시간(토요일)C","진료시간(일요일)C","진료시간(공휴일)C","진료시간(월요일)S","진료시간(화요일)S","진료시간(수요일)S","진료시간(목요일)S","진료시간(금요일)S","진료시간(토요일)S","진료시간(일요일)S","진료시간(공휴일)S","우편번호1","우편번호2","병원경도","병원위도","작업일시"
"C1103847","서울특별시 성북구 삼양로8길 3-28 (길음동)","2014.03 개업","가락시장맞은편금호아파트입구","가람약국","02-988-5987","2100","2100","2100","2100","2100","2000","2200","1800","1300","1300","1300","1300","1300","1300","0900","0900","027","26","127.0235025468776","37.608945200347435","2021-07-20 17:21:43.0"
"C1108680","서울특별시 강북구 도봉로49길 8 1층 (미아동)","2013.03 폐업 / 2013.03월 개업","강변역1번출구프라림프라자135호","강북김약국","02-980-1717","2000","2000","2000","2000","2000","1500","1800","1930","0900","0900","0900","0900","0900","0900","0900","0930","011","70","127.0259544037","37.62527554794","2021-08-20 17:21:44.0"
"C1108410","서울특별시 강서구 금낭화로 13 1층 (방화동)","2013.10.29 개업","5호선우장선역3-4번출구사이","강서튼튼약국","02-2663-8088","1900","1900","1900","1900","1900","1400","1400","1600","0900","0900","0900","0900","0900","0900","0830","0900","076","14","126.81161080146231","37.56659834030424","2021-01-20 17:20:02.0"
"C1101994","서울특별시 마포구 월드컵북로 25 지하1층 (서교동)","2013.10.29 개업","로뎀병원에서동서울시장쪽으로50m","강원약국","02-323-2936","1800","1800","1800","1800","1800","1300","2100","2230","0830","0830","0830","0830","0830","0830","1100","1000","040","01","126.91915673697613","37.556647822740736","2021-03-20 17:21:42.0"
"C1104267","서울특별시 강동구 올림픽로83길 18","한약국","신림4동동사무소옆","경약국","02-482-4604","1800","1800","1800","1800","1800","1500","2500","2200","1100","1100","1100","1100","1100","1000","2200","1000","052","45","127.12464536444745","37.54517693023412","2021-05-20 17:21:43.0"
"C1103321","서울특별시 동대문구 경희대로 22-1 1층 (회기동)","한약국","회기역1번출구1번마을버스탑승경희대정문하차","경희정문약국","02-957-6258","1830","1830","1830","1830","1830","1300","1900","1400","0830","0830","0830","0830","0830","0900","1000","0900","024","53","127.05286011246318","37.593504902063216","2021-03-20 17:21:42.0"
"C1104430","서울특별시 종로구 창경궁로13길 1 1층 (예지동)","대표번호1 지역번호 추가20170118150453","현대시장사거리아래30m","광장약국","02-2272-0380","1900","1900","1900","1900","1900","1900","2130","2200","0830","0830","0830","0830","0830","0830","1000","0830","031","94","126.997527777777776","37.570124999999997","2021-05-20 17:21:43.0"
"C1101909","서울특별시 구로구 경인로 431 (고척동)","대표번호1 지역번호 추가20170118150453","구로성심병원옆","구로메디칼약국","02-2614-3206","1500","1500","1500","1500","1500","1300","1830","1830","0900","0900","0900","0900","0900","0900","0930","0930","082","23","126.86687158244575","37.49963194778656","2021-01-20 17:20:03.0"
"C1109171","서울특별시 금천구 시흥대로 214 비즈메드빌딩 1층 102호 (시흥동)","","구로4동우체국옆","1층메디컬약국","02-891-1112","2000","2000","2000","2030","2000","1530","1600","1330","0900","0900","0900","0900","0900","0900","1000","0900","086","28","126.901712234507","37.4530428916984","2021-08-20 17:21:44.0"
"C1108823","서울특별시 강남구 강남대로 624 ICT TOWER 1층 일부호 (신사동)","","구로4동우체국옆","1층엔약국","02-518-1080","2030","2030","2030","2030","2030","1600","1600","1330","0830","0830","0830","0830","0830","0830","1000","0900","060","35","127.019510245364","37.5174746966284","2021-08-20 17:21:44.0"
