기관ID,구,주소
C1103847,성북구,서울특별시 성북구 삼양로8길 3-28 (길음동)
C1108680,강북구,서울특별시 강북구 도봉로49길 8 1층 (미아동)
C1108410,강서구,서울특별시 강서구 금낭화로 13 1층 (방화동)
C1101994,마포구,서울특별시 마포구 월드컵북로 25 지하1층 (서교동)
C1104267,강동구,서울특별시 강동구 올림픽로83길 18
C1103321,동대문구,서울특별시 동대문구 경희대로 22-1 1층 (회기동)
C1104430,종로구,서울특별시 종로구 창경궁로13길 1 1층 (예지동)
C1101909,구로구,서울특별시 구로구 경인로 431 (고척동)
C1109171,금천구,서울특별시 금천구 시흥대로 214 비즈메드빌딩 1층 102호 (시흥동)
C1108823,강남구,서울특별시 강남구 강남대로 624 ICT TOWER 1층 일부호 (신사동)
C1107724,노원구,서울특별시 노원구 한글비석로 383 1층 일부호 (중계동 삼창타워프라자)
C1100205,관악구,서울특별시 관악구 보라매로3길 29
C1104528,양천구,서울특별시 양천구 지양로 75
C1108585,광진구,서울특별시 광진구 능동로 110 스타시티 영존빌딩 지2층 B201호 (화양동)
C1102959,강남구,서울특별시 강남구 선릉로 404
C1104540,용산구,서울특별시 용산구 원효로 166 103호 (원효로2가 원효아파트)
C1101686,강북구,서울특별시 강북구 한천로 1043 (수유동)
C1103479,관악구,서울특별시 관악구 관악로 240 1층 (봉천동)
C1107103,서초구,서울특별시 서초구 신반포로 41  (반포동)
C1104730,강서구,서울특별시 강서구 화곡로 173  1층
C1103529,강북구,서울특별시 강북구 삼양로 429 (수유동)
C1101534,성동구,서울특별시 성동구 독서당로 276
C1104524,동대문구,서울특별시 동대문구 경희대로 15 (회기동)
C1106923,도봉구,서울특별시 도봉구 노해로65길 10 1층 (창동)
C1101261,금천구,서울특별시 금천구 독산로50길 90
C1107064,강서구,서울특별시 강서구 강서로 186 (화곡동)
C1104797,성북구,서울특별시 성북구 고려대로 80 (안암동5가)
C1104167,강동구,서울특별시 강동구 풍성로51길 3 (성내동)
C1107883,용산구,서울특별시 용산구 한강대로 95 지하2층 RB208호 (한강로2가 래미안용산)
C1107584,송파구,서울특별시 송파구 마천로 25 1층 (방이동)
C1107827,마포구,서울특별시 마포구 망원로 69 1층 (망원동)
C1101453,강서구,서울특별시 강서구 양천로 431
C1104535,노원구,서울특별시 노원구 동일로 1550 206호(상계동고려프라자)
C1101638,강동구,서울특별시 강동구 상암로 31 (암사동)
C1102300,강동구,서울특별시 강동구 양재대로 1477 1층
C1102117,성동구,서울특별시 성동구 무수막길 97  (금호동2가)
C1108132,강동구,서울특별시 강동구 명일로 270 1층 (길동)
C1107823,용산구,서울특별시 용산구 한강대로 259 109호 (갈월동 고려에이트리움)
C1104144,노원구,서울특별시 노원구 덕릉로 780
C1108120,영등포구,서울특별시 영등포구 영중로 119 리마크빌 영등포 2층 204-2호 (영등포동8가)
C1108948,양천구,서울특별시 양천구 신월로 389 남부빌딩 1층 105호 (신정동)
C1102711,마포구,서울특별시 마포구 양화로 166 지하1층(동교동미래프라자빌딩)
C1103965,노원구,서울특별시 노원구 동일로 1548 (상계동)
C1108754,강남구,서울특별시 강남구 강남대로 598 보림빌딩 지하층 (논현동)
C1102838,관악구,서울특별시 관악구 남부순환로 1615  (신림동)
C1102678,마포구,서울특별시 마포구 월드컵북로 69 1층 (성산동)
C1107817,강남구,서울특별시 강남구 남부순환로 2933 대치상가 1층 101호 (대치동)
C1108637,구로구,서울특별시 구로구 남부순환로97길 3 KS프리미어빌딩 105호 (개봉동)
C1101593,강북구,서울특별시 강북구 도봉로96길 11 1층 (번동)
C1100329,도봉구,서울특별시 도봉구 도봉로 733 (도봉동)
C1104798,영등포구,서울특별시 영등포구 영등포로 232-1
C1102906,서초구,서울특별시 서초구 신반포로15길 29
C1109097,동대문구,서울특별시 동대문구 답십리로 9 1층 A호 (전농동)
C1109117,금천구,서울특별시 금천구 가산디지털1로 1 더루벤스밸리 208-1호 (가산동)
C1101642,구로구,서울특별시 구로구 경인로53길 15
C1108991,노원구,서울특별시 노원구 상계로 59 동익빌딩 1층 78호 (상계동)
C1101369,강남구,서울특별시 강남구 개포로 615  (개포동)
C1101447,서대문구,서울특별시 서대문구 연희맛로 28
C1101312,송파구,서울특별시 송파구 백제고분로 203 (삼전동)
C1101308,동작구,서울특별시 동작구 상도로22길 46 (상도동)
C1102719,마포구,서울특별시 마포구 월드컵로 240 (성산동)
C1102120,광진구,서울특별시 광진구 용마산로 49 (중곡동)
C1103860,동작구,서울특별시 동작구 성대로 52 (상도동)
C1109072,강동구,서울특별시 강동구 고덕로 262 고덕역 효성해링턴 타워 더퍼스트 1층 121호 (명일동)
C1102882,영등포구,서울특별시 영등포구 양평로 102
C1104116,구로구,서울특별시 구로구 경인로 661 2층 211-1호 (신도림동 신도림1차푸르지오)
C1108956,영등포구,서울특별시 영등포구 여의대방로 376 나라키움여의도빌딩 107108호 (여의도동)
C1104634,성동구,서울특별시 성동구 아차산로7길 7 1층 (성수동2가)
C1104522,중랑구,서울특별시 중랑구 신내로16길 17 103호 (신내동)
C1107874,관악구,서울특별시 관악구 난곡로 214 1층 (신림동 금정빌딩)
C1104490,강서구,서울특별시 강서구 강서로 194-9 1층 (화곡동)
C1102997,마포구,서울특별시 마포구 월드컵북로 233  (성산동 성산시영아파트)
C1103273,영등포구,서울특별시 영등포구 여의대방로 177  (신길동)
C1102118,관악구,서울특별시 관악구 신림로 370
C1108026,용산구,서울특별시 용산구 한강대로 69 3층 305-1호 (한강로2가 용산푸르지오써밋)
C1104365,동작구,서울특별시 동작구 동작대로17길 3 (사당동)
C1104110,중구,서울특별시 중구 다산로11길 3 약수JK빌딩 2층 (신당동)
C1107216,강북구,서울특별시 강북구 삼양로123길 6-8 1층 (수유동)
C1102957,강동구,서울특별시 강동구 고덕로 391 (고덕동)
