의약품코드,제품명,제조사,효능,복용법,주의사항,보관법,
200300406,닥터베아제정,(주)대웅제약,이 약은 소화불량/ 식욕감퇴(식욕부진)/ 과식/ 체함/ 소화촉진/ 소화불량으로 인한 위부팽만감에 사용합니다.,성인 1회 1정을 1일 3회 식후에 복용합니다.,만 7세 이하의 소아는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 알레르기 체질인 사람/?임부 또는 임신하고 있을 가능성이 있는 여성/ 이 약 또는 황색4호에 과민증 환자는 의사 또는 약사와 상담하십시오.정해진 용법과 용량을 잘 지키십시오.2주 정도 복용하여도 증상의 개선이 없을 경우 즉각 복용을 중지하고 의사 또는 약사와 상담하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200608160,맥시부펜시럽(덱시부프로펜),한미약품(주),이 약은 급성 상기도감염으로 인한 발열 시 해열에 사용합니다.,생후 6개월 이상의 소아는 1회 0.4~0.6 mL/kg(5~7 mg/kg)/ 4~6시간 간격으로 필요시에 복용하며/ 1일 최대 4회(28 mg/kg)를 넘지 않습니다.체중이 30 kg 이하인 소아에게는 1일 최대 25 mL(300 mg)을 초과하지 않습니다.몸무게를 알?경우?몸무게에 따른 용량으로 복용하는 것이 더 적절하므로 연령대별 권장용량은 허가사항을 참고하십시오.?,이 약에 과민증 환자/ 소화성궤양/ 심한 혈액이상/ 심한 간장애/ 심한 신장애/ 심한 심부전/ 심한 고혈압/ 기관지천식/ 아스피린 또는 다른 소염진통제에 의한 천식/ 두드러기/ 알레르기 경험 환자/ 심장동맥 우회로술 전후 통증 치료 환자/ 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 이 약을 복용하지 마십시오.혈액이상/ 출혈경향/ 간장애/ 신장애/ 심부전/ 고혈압/ 전신성홍반성루푸스/ 혼합결합조직질환/ 궤양성대장염/ 노인/ 크론병/ 소아/ 위암 그리고 심근경색이나 뇌졸중 예방목적으로 저용량 아스피린을 복용하는 사람은 의사 또는 약사와 상의하십시오.장기 복용할 경우?원칙적으로 5일 이내로 합니다.,빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
198701129,뮤테란과립200밀리그램(아세틸시스테인),한화제약(주),이 약은 급ㆍ만성기관지염/ 기관지천식/ 후두염/ 부비동염/ 낭성섬유증의 질환에서?객담배출곤란에 사용합니다.,급성질환에 성인은 1회 1포(200 mg)씩/ 1일 3회/ 6~14세는 1회 1포(200 mg)씩/ 1일 2회/ 2~5세는 1회 1/2?포(100 mg)씩/ 1일 3회 소량의 물과 함께 복용합니다.만성질환에 성인은 1회 1포(200 mg)씩/ 1일 2회/ 6~14세는 1회? 1/2?포(100 mg)씩/ 1일 3회 소량의 물과 함께 복용합니다.낭성섬유증에 6세 이상은 1회 1포(200 mg)씩/ 1일 3회/ 2~5세는 1회 1/2?포(100 mg)씩/ 1일 4회 소량의 물과 함께 복용합니다.,이 약에 과민증 환자/?위/십이지장궤양/?2세 미만 영아는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상담하십시오.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
198801525,뮤테란캡슐200밀리그램(아세틸시스테인),한화제약(주),이 약은 급ㆍ만성기관지염/ 기관지천식/ 후두염/ 부비동염/ 낭성섬유증의 질환에서?객담배출곤란에 사용합니다.,급성질환에 성인은 1회 1캡슐(200 mg)씩/ 1일 3회/ 6~14세는 1회 1캡슐(200 mg)씩/ 1일 2회 식전에 소량의 물과 함께 복용합니다.만성질환에 성인은 1회 1캡슐(200 mg)씩/ 1일 2회/ 6~14세는 1회??1/2?캡슐(100 mg)씩/ 1일 3회 식전에 소량의 물과 함께 복용합니다.낭성섬유증에 6세 이상은 1회 1캡슐(200 mg)씩/ 1일 3회 식전에 소량의 물과 함께 복용합니다.,이 약에 과민증 환자/?위/십이지장궤양/?2세 미만 영아/ 갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에?임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상담하십시오.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
199102142,복합써스펜좌약,한미약품(주),이 약은 감기로 인한 발열 및 통증에 사용합니다.,3~6세는 1회 2개/ 1~2세는 1회 1~2개/ 3~12개월은 1회 1개씩/ 1일 2~3회 좌약의 둥근부분부터 직장내 깊이 삽입합니다.직장 근육긴장으로 밀려나올 경우에는 양쪽대퇴부를 오므려 약 1분간 안아줍니다.,이 약에 과민증 환자/ 호모시스틴뇨증 환자는 이 약을 사용하지 마십시오.이 약을 사용하기 전에 간장애/ 신장애/ 신생아/ 미숙아/ 임부 또는 임신하고 있을 가능성이 있는 여성은 의사 또는 약사와 상담하십시오.의사의 지시 없이 통증에 10일 이상(성인) 또는 5일 이상(소아) 투여하지 말고 발열에 3일 이상 투여하지 않습니다.이 약은 직장내 투여에 한하고 경구로 투여하지 않습니다.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
200501321,신신파스아렉스,신신제약(주),이 약은 어깨결림/ 요통/ 신경통/ 류마티스/ 타박상/ 염좌(삠)/ 근육통/ 관절통의 진통 · 소염(항염)에 사용합니다.,1일 1~2회 환부(질환 부위)에 부착합니다.,30개월 이하의 유아/ 눈 주위/ 습진/ 옻 등에 의한 피부염/ 상처부위/ 점막 등에는 사용하지 마십시오.이 약을 사용하기 전에 이 약 또는 화장품에?과민증 환자/ 알레르기 체질인 환자/?습윤(습기 참)이나 미란(짓무름)이 심한 환자/?소아는?의사 또는 약사와 상담하십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.환부(질환 부위)의 부위는 청결하게 하고/ 땀 등은 잘 닦은 후 붙이십시오.붙인 환부(질환 부위)를 난로나 전기담요 등으로 따뜻하게 하지 마십시오.붙인 상태로 목욕을 하면 강한 자극을 느끼게 되므로 목욕하기 30분에서 1시간전에 떼어내십시오. 또한 목욕 직후에는 붙이지 마십시오.5~6일간 사용하여도 증상이 개선되지 않는 경우 사용을 즉각 중지하고 의사 또는 약사와 상의하십시오.이 약은 외용으로만 사용하십시오.정해진 용법과 용량을 잘 지키십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
198700430,알마겔정(알마게이트)(수출명:유한가스트라겔정),(주)유한양행,이 약은 위·십이지장궤양/ 위염/ 위산과다/ 속쓰림/ 구역/ 구토/ 위통/ 신트림의 제산작용 및 증상의 개선에 사용합니다.,성인 및 12세 이상의 소아는 1회 2정(1 g)을 1일 3회 식후 30분~1시간에 씹어서 복용합니다.필요시 취침 전에 1회 더 복용할 수 있습니다.,이 약에 과민증 환자/?알츠하이머병/ 치질/ 체액저류(부기)/ 임신중독증/ 설사/ 진단되지 않은 소화기관출혈 환자는?이 약을?복용하지 마십시오.이 약을 복용하기 전에?신장애/?신체 허약자/ 인 함량이 낮은 식이요법 실시자/ 소화흡수장애가 있는 사람/?고령자/?혈액구토 또는 흑색대변 등과 같은 소화기관출혈 증상이 있는 환자/ 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는?의사 또는 약사와 상담하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.2주정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
199500435,엘도스캡슐(에르도스테인),(주)대웅제약,이 약은 급ㆍ만성 호흡기질환에서의 점액용해 및 거담에 사용합니다.,성인은 1회 1캡슐(300 mg)을 1일 2~3회 복용합니다.급성 호흡기질환에 복용?시 연속으로 10일 이상 복용하지 않습니다.,이 약에 과민증 환자/ 간경변/?시스타티오닌 합성효소 결핍/?소화성궤양/?중증 신장장애(크레아티닌청소율이이 약을 복용하기 전에 경증 및 중등도 간장애 환자/ 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부는 의사 또는 약사와 상담하십시오.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
199400367,케노펜겔(케토프로펜),일동제약(주),이 약은 퇴행성관절염(골관절염)/ 어깨관절주위염/ 건ㆍ건초염/ 건주위염/ 상완골상과염(테니스 엘보우 등)/ 근육통/ 외상후의 종창ㆍ동통의 진통ㆍ소염에 사용합니다.,증상에 따라 적당량을 1일 1~4회 환부에 바르고 잘 스며들도록 가볍게 문지릅니다.,이 약에 과민증/ 광과민증/ 아스피린 또는 다른 소염진통제에 의한 천식 경험 환자/ 티아프로펜산ㆍ페노피브레이트ㆍ베자피브레이트ㆍ시프로피브레이트ㆍ옥시벤존에 과민증/ 임신기간 6개월 이상인 임부/ 15세 미만의 소아는 이 약을 사용하지 마십시오.이 약을 사용하기 전에 기관지천식/ 임부/ 수유부는 의사 또는 약사와 상의하십시오.광과민증이 나타날 수 있으므로/ 이 약을 사용 중이거나 사용 후 2주까지는 자외선을 피하십시오.눈 및 점막/ 무좀/ 백선에는 사용하지 마십시오.손상된 피부 및 점막/ 습진 또는 발진 부위에 사용하는 경우 일시적인 자극 및 날카로운 통증을 일으킬 수 있으므로 사용시 주의하십시오.밀봉붕대법을 사용하지 마십시오.1주일 정도 사용하고도 증상개선이 보이지 않을 경우 사용을 중지하고 의사 또는 약사와 상의하십시오.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
199303108,타이레놀정500밀리그람(아세트아미노펜)(수출명:TylenolExtraStrengthCaplets),(주)한국얀센,이 약은 감기로 인한 발열 및 동통(통증)/ 두통/ 신경통/ 근육통/ 월경통/ 염좌통(삔 통증)과 치통/ 관절통/ 류마티양 동통(통증)에 사용합니다.,만 12세 이상의 소아 및 성인은 1회 1~2정씩/ 1일 3~4회 (4~6시간 마다) 필요시 복용합니다.이 약은 가능한 최단기간동안 최소 유효용량으로 복용하십시오.,이 약에 과민증 환자/ 소화성궤양/ 심한 혈액이상/ 심한 간장애/ 심한 신장장애/ 심한 심장기능저하/ 아스피린 또는 다른 소염진통제에 의한 천식 경험 환자/ 바르비탈계 약물/ 삼환계 항우울제 복용한 환자/ 알코올을 복용한 사람은 이 약을 복용하지 마십시오.이 약을 복용하기 전에 간장애/ 신장(콩팥)장애/ 소화성궤양/ 혈액이상/ 출혈경향/ 심장기능이상/ 과민증 경험자/ 기관지천식/ 노인/ 임부 또는 수유부는 의사 또는 약사와 상의하십시오.의사 또는 약사의 지시없이 통증에 10일 이상(성인) 또는 5일 이상(소아) 복용하지 않고 발열에 3일 이상 복용하지 않습니다.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
201800124, 쎈비백정,한국코러스(주),이 약은 육체피로/ 임신ㆍ수유기/ 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시/ 발육기/ 노년기의 비타민 D/ E/ B1/ B2/ B6의 보급과 뼈/ 이의 발육불량/ 구루병의 예방/ 각기/ 눈의 피로/ 신경통/ 근육통/ 관절통(요통/ 어깨결림 등)/ 구각염(입꼬리염)/ 구순염(입술염)/ 구내염(입안염)/ 설염(혀염)/ 습진/ 피부염 증상의 완화와 아연의 보급에 사용합니다.,만 8세 이상 및 성인 1회 1정씩/ 1일 1회 복용합니다.,고칼슘혈증/ 유육종증/ 신장질환/ 이 약에 과민증 환자/ 만 12개월 미만의 젖먹이/ 신장결석/ 심한 증상의 신부전/ 갈락토오스 불내성/ Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 햇빛을 많이 보고 정상적인 식사를 하는 어린이/ 임부 및 임신하고 있을 가능성이 있는 여성/ 수유부/ 미숙아/ 유아/ 소화성궤양/ 만성궤양성대장염/ 국한성대장염 등의 위장질환/ 심장?순환기계기능 장애/ 신장장애/ 저단백혈증/ 신장결석 경험자/ 폴산이 부족한 환자/ 혈전성 소인이 있는 환자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
